name,published_year,avg_rating,recc_age,weight,game_type,mech_1,mech_2,mech_3,mech_4,mech_5,rank,min_player,max_player,min_playtime,max_playtime
Brass: Birmingham,2018,8.6, 14,3.89,Strategy,Hand Management,Income,Loans,Market,Network and Route Building,1,2,4,60,120
Pandemic Legacy: Season 1,2015,8.5, 13,2.83,Strategy,Action Points,Cooperative Game,Hand Management,Legacy Game,Point to Point Movement,2,2,4,60,60
Gloomhaven,2017,8.6, 14,3.9,Strategy,Action Queue,Action Retrieval,Campaign / Battle Card Driven,Card Play Conflict Resolution,Communication Limits,3,1,4,60,120
Ark Nova,2021,8.5, 14,3.73,Strategy,End Game Bonuses,Hand Management,Hexagon Grid,Income,Increase Value of Unchosen Resources,4,1,4,90,150
Twilight Imperium: Fourth Edition,2017,8.6, 14,4.31,Strategy,Action Drafting,Area-Impulse,Dice Rolling,Follow,Grid Movement,5,3,6,240,480
Terraforming Mars,2016,8.4, 12,3.26,Strategy,Closed Drafting,Contracts,Enclosure,End Game Bonuses,Hand Management,6,1,5,120,120
Dune: Imperium,2020,8.4, 14,3.04,Strategy,Card Play Conflict Resolution,"Deck, Bag, and Pool Building",Delayed Purchase,Force Commitment,Increase Value of Unchosen Resources,7,1,4,60,120
Gloomhaven: Jaws of the Lion,2020,8.5, 14,3.63,Strategy,Action Queue,Action Retrieval,Campaign / Battle Card Driven,Communication Limits,Cooperative Game,8,1,4,30,120
War of the Ring: Second Edition,2011,8.5, 13,4.21,Thematic,Action Drafting,Area Majority / Influence,Area Movement,Campaign / Battle Card Driven,Card Play Conflict Resolution,9,2,4,150,180
Star Wars: Rebellion,2016,8.4, 14,3.74,Thematic,Area Majority / Influence,Area Movement,Area-Impulse,Card Play Conflict Resolution,Contracts,10,2,4,180,240
Spirit Island,2017,8.4, 13,4.06,Strategy,Action Retrieval,Area Majority / Influence,Automatic Resource Growth,Campaign / Battle Card Driven,Cooperative Game,11,1,4,90,120
Gaia Project,2017,8.4, 12,4.4,Strategy,End Game Bonuses,Hexagon Grid,Income,Modular Board,Network and Route Building,12,1,4,60,150
Twilight Struggle,2005,8.3, 13,3.61,Strategy,Action/Event,Advantage Token,Area Majority / Influence,Campaign / Battle Card Driven,Dice Rolling,13,2,2,120,180
Through the Ages: A New Story of Civilization,2015,8.3, 14,4.44,Strategy,Action Points,Auction: Dutch,Auction/Bidding,Events,Income,14,2,4,120,120
Great Western Trail,2016,8.2, 12,3.71,Strategy,"Deck, Bag, and Pool Building",Hand Management,Ownership,Set Collection,Track Movement,15,2,4,75,150
The Castles of Burgundy,2011,8.1, 12,2.99,Strategy,Dice Rolling,End Game Bonuses,Grid Coverage,Hexagon Grid,Open Drafting,16,2,4,30,90
Scythe,2016,8.2, 14,3.44,Strategy,Area Majority / Influence,Card Play Conflict Resolution,Contracts,End Game Bonuses,Force Commitment,17,1,5,90,115
7 Wonders Duel,2015,8.1, 10,2.23,Strategy,End Game Bonuses,Income,Layering,Market,Modular Board,18,2,2,30,30
Eclipse: Second Dawn for the Galaxy,2020,8.5, 14,3.66,Strategy,Alliances,Area Majority / Influence,Area-Impulse,Dice Rolling,Grid Movement,19,2,6,60,200
Brass: Lancashire,2007,8.2, 14,3.86,Strategy,Hand Management,Income,Loans,Market,Network and Route Building,20,2,4,60,120
Nemesis,2018,8.3, 12,3.45,Thematic,Campaign / Battle Card Driven,Cooperative Game,Dice Rolling,Hand Management,Hidden Roles,21,1,5,90,180
Concordia,2013,8.1, 13,2.99,Strategy,Action Retrieval,Advantage Token,Auction: Dutch,End Game Bonuses,Hand Management,22,2,5,100,100
Clank! Legacy: Acquisitions Incorporated,2019,8.6, 13,2.71,Thematic,"Deck, Bag, and Pool Building",Delayed Purchase,End Game Bonuses,Events,Legacy Game,23,2,4,90,120
A Feast for Odin,2016,8.2, 12,3.86,Strategy,Automatic Resource Growth,Dice Rolling,Grid Coverage,Income,Push Your Luck,24,1,4,30,120
Wingspan,2019,8.1, 10,2.46,Family,Contracts,Dice Rolling,End Game Bonuses,Hand Management,Once-Per-Game Abilities,25,1,5,40,70
Terra Mystica,2012,8.1, 12,3.97,Strategy,Area Majority / Influence,Chaining,End Game Bonuses,Hexagon Grid,Income,26,2,5,60,150
Arkham Horror: The Card Game,2016,8.1, 14,3.53,Customizable,Action Points,Area Movement,Communication Limits,Cooperative Game,Deck Construction,27,1,2,60,120
Lost Ruins of Arnak,2020,8.1, 12,2.91,Family,Contracts,"Deck, Bag, and Pool Building",Market,Multi-Use Cards,Once-Per-Game Abilities,28,1,4,30,120
Root,2018,8.1, 10,3.78,Strategy,Action Queue,Action Retrieval,Area Majority / Influence,Area Movement,Dice Rolling,29,2,4,60,90
Great Western Trail: Second Edition,2021,8.4, 12,3.72,Strategy,"Deck, Bag, and Pool Building",Hand Management,Ownership,Set Collection,Solo / Solitaire Game,30,1,4,75,150
Orléans,2014,8.1, 12,3.03,Strategy,Contracts,"Deck, Bag, and Pool Building",End Game Bonuses,Events,Point to Point Movement,31,2,4,90,90
Everdell,2018,8.0, 13,2.81,Family,Contracts,End Game Bonuses,Hand Management,Income,Open Drafting,32,1,4,40,80
Mage Knight Board Game,2011,8.1, 14,4.36,Strategy,Card Play Conflict Resolution,Cooperative Game,"Deck, Bag, and Pool Building",Dice Rolling,Grid Movement,33,1,4,60,240
Viticulture Essential Edition,2015,8.0, 13,2.89,Strategy,Contracts,Hand Management,Solo / Solitaire Game,Turn Order: Auction,Victory Points as a Resource,34,1,6,45,90
Barrage,2019,8.2, 14,4.1,Strategy,Action Retrieval,Contracts,End Game Bonuses,Income,Network and Route Building,35,1,4,60,120
The Crew: Mission Deep Sea,2021,8.2, 10,2.04,Family,Communication Limits,Cooperative Game,Hand Management,Scenario / Mission / Campaign Game,Trick-taking,36,2,5,20,20
Too Many Bones,2017,8.3, 12,3.85,Strategy,Cooperative Game,"Deck, Bag, and Pool Building",Dice Rolling,Die Icon Resolution,Grid Movement,37,1,4,60,120
Food Chain Magnate,2015,8.1, 14,4.21,Strategy,"Deck, Bag, and Pool Building",Delayed Purchase,Income,Market,Modular Board,38,2,5,120,240
Pax Pamir: Second Edition,2019,8.2, 13,3.84,Strategy,Action Points,Area Majority / Influence,Area Movement,Auction: Dutch,Hand Management,39,1,5,45,120
Marvel Champions: The Card Game,2019,8.1, 14,2.92,Customizable,Cooperative Game,Deck Construction,Hand Management,Scenario / Mission / Campaign Game,Solo / Solitaire Game,40,1,4,45,90
Underwater Cities,2018,8.1, 12,3.6,Strategy,End Game Bonuses,Hand Management,Income,Network and Route Building,Solo / Solitaire Game,41,1,4,80,150
Puerto Rico,2002,7.9, 12,3.27,Strategy,Action Drafting,End Game Bonuses,Follow,Hidden Victory Points,Increase Value of Unchosen Resources,42,3,5,90,150
Caverna: The Cave Farmers,2013,8.0, 12,3.78,Strategy,Automatic Resource Growth,Increase Value of Unchosen Resources,Solo / Solitaire Game,Tile Placement,Turn Order: Claim Action,43,1,7,30,210
Blood Rage,2015,7.9, 14,2.87,Strategy,Action Points,Area Majority / Influence,Area Movement,Card Play Conflict Resolution,Closed Drafting,44,2,4,60,90
Cascadia,2021,8.0, 10,1.84,Abstract,End Game Bonuses,Hexagon Grid,Open Drafting,Pattern Building,Solo / Solitaire Game,45,1,4,30,45
Frosthaven,2022,8.9, 14,4.34,Strategy,Campaign / Battle Card Driven,Communication Limits,Cooperative Game,Deck Construction,"Deck, Bag, and Pool Building",46,1,4,30,120
On Mars,2020,8.2, 14,4.67,Strategy,Contracts,Delayed Purchase,End Game Bonuses,Hexagon Grid,Income,47,1,4,90,150
Anachrony,2017,8.1, 15,4.02,Strategy,Dice Rolling,Solo / Solitaire Game,Turn Order: Claim Action,Variable Player Powers,Worker Placement,48,1,4,30,120
Agricola,2007,7.9, 12,3.64,Strategy,Automatic Resource Growth,Closed Drafting,Enclosure,Hand Management,Increase Value of Unchosen Resources,49,1,5,30,150
Crokinole,1876,8.0, 8,1.24,Family,Flicking,Team-Based Game,,,,50,2,4,30,30
Pandemic Legacy: Season 0,2020,8.4, 14,3.15,Strategy,Action Points,Cooperative Game,Hand Management,Legacy Game,Point to Point Movement,51,2,4,45,60
Kanban EV,2020,8.4, 14,4.31,Strategy,Action Points,Hand Management,Variable Phase Order,Worker Placement,,52,1,4,60,180
Sleeping Gods,2021,8.3, 13,3.23,Thematic,Action Points,Cooperative Game,Events,Hand Management,Narrative Choice / Paragraph,53,1,4,60,1200
Pandemic Legacy: Season 2,2017,8.0, 14,3.25,Strategy,Action Points,Cooperative Game,Hand Management,Legacy Game,Pick-up and Deliver,54,2,4,60,60
Heat: Pedal to the Metal,2022,8.1, 10,2.18,Family,Catch the Leader,Hand Management,Race,Simulation,Simultaneous Action Selection,55,1,6,30,60
Mansions of Madness: Second Edition,2016,8.0, 14,2.67,Thematic,Area Movement,Cooperative Game,Dice Rolling,Hand Management,Map Addition,56,1,5,120,180
Maracaibo,2019,8.1, 12,3.9,Strategy,Contracts,End Game Bonuses,Events,Hand Management,Income,57,1,4,30,120
Lisboa,2017,8.2, 12,4.59,Strategy,Area Majority / Influence,Hand Management,Open Drafting,Solo / Solitaire Game,Tile Placement,58,1,4,60,120
Tzolk'in: The Mayan Calendar,2012,7.9, 13,3.67,Strategy,Bias,End Game Bonuses,Turn Order: Claim Action,Worker Placement,,59,2,4,90,90
Power Grid,2004,7.8, 12,3.26,Strategy,Auction: Turn Order Until Pass,Auction/Bidding,Catch the Leader,Income,Market,60,2,6,120,120
Clans of Caledonia,2017,7.9, 12,3.46,Strategy,Commodity Speculation,Contracts,Market,Modular Board,Network and Route Building,61,1,4,30,120
The Quacks of Quedlinburg,2018,7.8, 10,1.95,Family,Catch the Leader,"Deck, Bag, and Pool Building",Delayed Purchase,Dice Rolling,Events,62,2,4,45,45
Paladins of the West Kingdom,2019,8.0, 12,3.72,Strategy,End Game Bonuses,Market,Open Drafting,Solo / Solitaire Game,Worker Placement,63,1,4,90,120
Le Havre,2008,7.9, 12,3.72,Strategy,Automatic Resource Growth,End Game Bonuses,Increase Value of Unchosen Resources,Loans,Ownership,64,1,5,30,150
The Crew: The Quest for Planet Nine,2019,7.8, 10,1.96,Family,Communication Limits,Cooperative Game,Hand Management,Scenario / Mission / Campaign Game,Trick-taking,65,2,5,20,20
The Gallerist,2015,8.0, 13,4.26,Strategy,Area Majority / Influence,Commodity Speculation,Contracts,Investment,Open Drafting,66,1,4,60,150
Star Wars: Imperial Assault,2014,8.0, 14,3.3,Thematic,Dice Rolling,Die Icon Resolution,Grid Movement,Line of Sight,Modular Board,67,1,5,60,120
Mechs vs. Minions,2016,8.0, 14,2.43,Strategy,Action Queue,Bias,Cooperative Game,Dice Rolling,Modular Board,68,2,4,60,120
Grand Austria Hotel,2015,7.9, 12,3.22,Strategy,Action Drafting,Contracts,Dice Rolling,End Game Bonuses,Hand Management,69,2,4,60,120
Cthulhu: Death May Die,2019,8.2, 14,2.43,Thematic,Action Points,Cooperative Game,Dice Rolling,Scenario / Mission / Campaign Game,Solo / Solitaire Game,70,1,5,90,120
Android: Netrunner,2012,7.9, 14,3.4,Customizable,Action Points,Deck Construction,Hand Management,Race,Secret Unit Deployment,71,2,2,45,45
Kingdom Death: Monster,2015,8.5, 17,4.26,Thematic,Cooperative Game,Critical Hits and Failures,Dice Rolling,Grid Movement,Role Playing,72,1,4,60,180
Azul,2017,7.8, 8,1.76,Abstract,End Game Bonuses,Open Drafting,Pattern Building,Tile Placement,Turn Order: Claim Action,73,2,4,30,45
Agricola (Revised Edition),2016,8.0, 12,3.47,Strategy,Enclosure,Hand Management,Worker Placement,,,74,1,4,30,120
Race for the Galaxy,2007,7.7, 12,2.99,Strategy,Follow,Hand Management,Income,Market,Multi-Use Cards,75,2,4,30,60
Eclipse: New Dawn for the Galaxy,2011,7.8, 14,3.7,Strategy,Dice Rolling,Grid Movement,Hexagon Grid,Map Addition,Modular Board,76,2,6,60,180
Five Tribes,2014,7.8, 13,2.85,Strategy,Auction/Bidding,Constrained Bidding,End Game Bonuses,Hidden Victory Points,Mancala,77,2,4,40,80
Aeon's End,2016,7.9, 14,2.81,Strategy,Chit-Pull System,Cooperative Game,"Deck, Bag, and Pool Building",Delayed Purchase,Hand Management,78,1,4,60,60
Obsession,2018,8.2, 14,3.12,Strategy,Action Retrieval,"Deck, Bag, and Pool Building",Hand Management,Open Drafting,Solo / Solitaire Game,79,1,4,30,90
Clank!: A Deck-Building Adventure,2016,7.8, 12,2.23,Family,Action Points,"Deck, Bag, and Pool Building",Delayed Purchase,End Game Bonuses,Movement Points,80,2,4,30,60
Fields of Arle,2014,8.0, 13,3.86,Strategy,Automatic Resource Growth,Highest-Lowest Scoring,Income,Set Collection,Solo / Solitaire Game,81,1,2,60,120
Through the Ages: A Story of Civilization,2006,7.9, 12,4.18,Strategy,Action Points,Auction: Dutch,Auction/Bidding,Hand Management,Open Drafting,82,2,4,120,120
Teotihuacan: City of Gods,2018,7.9, 14,3.78,Strategy,Area Movement,Rondel,Set Collection,Solo / Solitaire Game,Tile Placement,83,1,4,90,120
Beyond the Sun,2020,8.0, 14,3.13,Strategy,Area Majority / Influence,Contracts,Events,Point to Point Movement,Tech Trees / Tech Tracks,84,2,4,60,120
Lords of Waterdeep,2012,7.7, 12,2.45,Strategy,Contracts,Hidden Roles,Increase Value of Unchosen Resources,Ownership,Set Collection,85,2,5,60,120
The Voyages of Marco Polo,2015,7.8, 12,3.18,Strategy,Contracts,Dice Rolling,Point to Point Movement,Resource to Move,Turn Order: Claim Action,86,2,4,40,100
Dominant Species,2010,7.8, 14,4.04,Strategy,Action Queue,Area Majority / Influence,End Game Bonuses,Grid Movement,Hexagon Grid,87,2,6,120,240
Robinson Crusoe: Adventures on the Cursed Island,2012,7.8, 14,3.81,Thematic,Action Queue,Area Movement,Cooperative Game,Dice Rolling,Die Icon Resolution,88,1,4,60,120
7 Wonders,2010,7.7, 10,2.32,Family,Closed Drafting,Hand Management,Neighbor Scope,Set Collection,Simultaneous Action Selection,89,2,7,30,30
The Search for Planet X,2020,8.0, 13,2.37,Strategy,Action Points,Deduction,End Game Bonuses,Paper-and-Pencil,Solo / Solitaire Game,90,1,4,60,75
Tainted Grail: The Fall of Avalon,2019,8.1, 14,3.34,Thematic,Area Movement,Campaign / Battle Card Driven,Cooperative Game,"Deck, Bag, and Pool Building",Dice Rolling,91,1,4,60,120
El Grande,1995,7.7, 12,3.04,Strategy,Action Drafting,Area Majority / Influence,Area Movement,Auction/Bidding,Hand Management,92,2,5,60,120
Architects of the West Kingdom,2018,7.7, 12,2.75,Strategy,Contracts,Increase Value of Unchosen Resources,Open Drafting,Solo / Solitaire Game,Tags,93,1,5,60,80
The 7th Continent,2017,7.9, 14,2.9,Thematic,Area Movement,Cooperative Game,Hand Management,Map Addition,Modular Board,94,1,4,5,1000
Battlestar Galactica: The Board Game,2008,7.7, 14,3.25,Thematic,Area Movement,Dice Rolling,Hand Management,Hidden Roles,Once-Per-Game Abilities,95,3,6,120,180
Inis,2016,7.8, 14,2.89,Strategy,Area Majority / Influence,Area Movement,Campaign / Battle Card Driven,Closed Drafting,Hand Management,96,2,4,60,90
Decrypto,2018,7.8, 12,1.81,Party,Communication Limits,Targeted Clues,Team-Based Game,,,97,3,8,15,45
Keyflower,2012,7.7, 12,3.34,Strategy,Auction: Fixed Placement,Auction: Multiple Lot,Auction/Bidding,Constrained Bidding,End Game Bonuses,98,2,6,90,120
Raiders of the North Sea,2015,7.7, 12,2.55,Strategy,Contracts,Dice Rolling,Hand Management,Worker Placement,"Worker Placement, Different Worker Types",99,2,4,60,80
Caylus,2005,7.7, 12,3.8,Strategy,Action Queue,Ownership,Turn Order: Claim Action,Turn Order: Pass Order,Variable Set-up,100,2,5,60,150
