,0,1,2,3,4,5,6,7,8,9,10,11,12
0,Brass: Birmingham,(2018),8.6,2–4 Players,60–120 Min,Age: 14+,3.89,"Strategy
View poll and results",Hand Management,Income,Loans,Market,Network and Route Building
1,Pandemic Legacy: Season 1,(2015),8.5,2–4 Players,60 Min,Age: 13+,2.83,"Strategy,  Thematic
View poll and results",Action Points,Cooperative Game,Hand Management,Legacy Game,Point to Point Movement
2,Gloomhaven,(2017),8.6,1–4 Players,60–120 Min,Age: 14+,3.90,"Strategy,  Thematic
View poll and results",Action Queue,Action Retrieval,Campaign / Battle Card Driven,Card Play Conflict Resolution,Communication Limits
3,Ark Nova,(2021),8.5,1–4 Players,90–150 Min,Age: 14+,3.73,"Strategy
View poll and results",End Game Bonuses,Hand Management,Hexagon Grid,Income,Increase Value of Unchosen Resources
4,Twilight Imperium: Fourth Edition,(2017),8.6,3–6 Players,240–480 Min,Age: 14+,4.31,"Strategy,  Thematic
View poll and results",Action Drafting,Area-Impulse,Dice Rolling,Follow,Grid Movement
5,Terraforming Mars,(2016),8.4,1–5 Players,120 Min,Age: 12+,3.26,"Strategy
View poll and results",Closed Drafting,Contracts,Enclosure,End Game Bonuses,Hand Management
6,Dune: Imperium,(2020),8.4,1–4 Players,60–120 Min,Age: 14+,3.04,"Strategy
View poll and results",Card Play Conflict Resolution,"Deck, Bag, and Pool Building",Delayed Purchase,Force Commitment,Increase Value of Unchosen Resources
7,Gloomhaven: Jaws of the Lion,(2020),8.5,1–4 Players,30–120 Min,Age: 14+,3.63,"Strategy,  Thematic
View poll and results",Action Queue,Action Retrieval,Campaign / Battle Card Driven,Communication Limits,Cooperative Game
8,War of the Ring: Second Edition,(2011),8.5,2–4 Players,150–180 Min,Age: 13+,4.21,"Thematic,  Wargames
View poll and results",Action Drafting,Area Majority / Influence,Area Movement,Campaign / Battle Card Driven,Card Play Conflict Resolution
9,Star Wars: Rebellion,(2016),8.4,2–4 Players,180–240 Min,Age: 14+,3.74,"Thematic
View poll and results",Area Majority / Influence,Area Movement,Area-Impulse,Card Play Conflict Resolution,Contracts
10,Spirit Island,(2017),8.4,1–4 Players,90–120 Min,Age: 13+,4.06,"Strategy
View poll and results",Action Retrieval,Area Majority / Influence,Automatic Resource Growth,Campaign / Battle Card Driven,Cooperative Game
11,Gaia Project,(2017),8.4,1–4 Players,60–150 Min,Age: 12+,4.40,"Strategy
View poll and results",End Game Bonuses,Hexagon Grid,Income,Modular Board,Network and Route Building
12,Twilight Struggle,(2005),8.3,2 Players,120–180 Min,Age: 13+,3.61,"Strategy,  Wargames
View poll and results",Action/Event,Advantage Token,Area Majority / Influence,Campaign / Battle Card Driven,Dice Rolling
13,Through the Ages: A New Story of Civilization,(2015),8.3,2–4 Players,120 Min,Age: 14+,4.44,"Strategy
View poll and results",Action Points,Auction: Dutch,Auction/Bidding,Events,Income
14,Great Western Trail,(2016),8.2,2–4 Players,75–150 Min,Age: 12+,3.71,"Strategy
View poll and results","Deck, Bag, and Pool Building",Hand Management,Ownership,Set Collection,Track Movement
15,The Castles of Burgundy,(2011),8.1,2–4 Players,30–90 Min,Age: 12+,2.99,"Strategy
View poll and results",Dice Rolling,End Game Bonuses,Grid Coverage,Hexagon Grid,Open Drafting
16,Scythe,(2016),8.2,1–5 Players,90–115 Min,Age: 14+,3.44,"Strategy
View poll and results",Area Majority / Influence,Card Play Conflict Resolution,Contracts,End Game Bonuses,Force Commitment
17,7 Wonders Duel,(2015),8.1,2 Players,30 Min,Age: 10+,2.23,"Strategy
View poll and results",End Game Bonuses,Income,Layering,Market,Modular Board
18,Eclipse: Second Dawn for the Galaxy,(2020),8.5,2–6 Players,60–200 Min,Age: 14+,3.66,"Strategy
View poll and results",Alliances,Area Majority / Influence,Area-Impulse,Dice Rolling,Grid Movement
19,Brass: Lancashire,(2007),8.2,2–4 Players,60–120 Min,Age: 14+,3.86,"Strategy
View poll and results",Hand Management,Income,Loans,Market,Network and Route Building
20,Nemesis,(2018),8.3,1–5 Players,90–180 Min,Age: 12+,3.45,"Thematic
View poll and results",Campaign / Battle Card Driven,Cooperative Game,Dice Rolling,Hand Management,Hidden Roles
21,Concordia,(2013),8.1,2–5 Players,100 Min,Age: 13+,2.99,"Strategy
View poll and results",Action Retrieval,Advantage Token,Auction: Dutch,End Game Bonuses,Hand Management
22,Clank! Legacy: Acquisitions Incorporated,(2019),8.6,2–4 Players,90–120 Min,Age: 13+,2.71,"Thematic
View poll and results","Deck, Bag, and Pool Building",Delayed Purchase,End Game Bonuses,Events,Legacy Game
23,A Feast for Odin,(2016),8.2,1–4 Players,30–120 Min,Age: 12+,3.86,"Strategy
View poll and results",Automatic Resource Growth,Dice Rolling,Grid Coverage,Income,Push Your Luck
24,Wingspan,(2019),8.1,1–5 Players,40–70 Min,Age: 10+,2.46,"Family,  Strategy
View poll and results",Contracts,Dice Rolling,End Game Bonuses,Hand Management,Once-Per-Game Abilities
25,Terra Mystica,(2012),8.1,2–5 Players,60–150 Min,Age: 12+,3.97,"Strategy
View poll and results",Area Majority / Influence,Chaining,End Game Bonuses,Hexagon Grid,Income
26,Arkham Horror: The Card Game,(2016),8.1,1–2 Players,60–120 Min,Age: 14+,3.53,"Customizable,  Thematic
View poll and results",Action Points,Area Movement,Communication Limits,Cooperative Game,Deck Construction
27,Lost Ruins of Arnak,(2020),8.1,1–4 Players,30–120 Min,Age: 12+,2.91,"Family,  Strategy
View poll and results",Contracts,"Deck, Bag, and Pool Building",Market,Multi-Use Cards,Once-Per-Game Abilities
28,Root,(2018),8.1,2–4 Players,60–90 Min,Age: 10+,3.78,"Strategy,  Wargames
View poll and results",Action Queue,Action Retrieval,Area Majority / Influence,Area Movement,Dice Rolling
29,Great Western Trail: Second Edition,(2021),8.4,1–4 Players,75–150 Min,Age: 12+,3.72,"Strategy
View poll and results","Deck, Bag, and Pool Building",Hand Management,Ownership,Set Collection,Solo / Solitaire Game
30,Orléans,(2014),8.1,2–4 Players,90 Min,Age: 12+,3.03,"Strategy
View poll and results",Contracts,"Deck, Bag, and Pool Building",End Game Bonuses,Events,Point to Point Movement
31,Everdell,(2018),8.0,1–4 Players,40–80 Min,Age: 13+,2.81,"Family,  Strategy
View poll and results",Contracts,End Game Bonuses,Hand Management,Income,Open Drafting
32,Mage Knight Board Game,(2011),8.1,1–4 Players,60–240 Min,Age: 14+,4.36,"Strategy,  Thematic
View poll and results",Card Play Conflict Resolution,Cooperative Game,"Deck, Bag, and Pool Building",Dice Rolling,Grid Movement
